      left      right     bottom        top 
1.00000000 1.00000000 1.00000000 1.00000000 

-3.1802E-3 3.30021E-2 8.54847E-3 2.14847E-2 
-3.1382E-3 3.30418E-2 8.60334E-3 2.15448E-2 
-3.0963E-3 3.30814E-2 8.65800E-3 2.16047E-2 
-3.0544E-3 3.31211E-2 8.71281E-3 2.16647E-2 
-3.0124E-3 3.31608E-2 8.76762E-3 2.17247E-2 
-2.9704E-3 3.32007E-2 8.82253E-3 2.17847E-2 
-2.9283E-3 3.32406E-2 8.87751E-3 2.18448E-2 
-2.8863E-3 3.32805E-2 8.93247E-3 2.19048E-2 
-2.8442E-3 3.33205E-2 8.98747E-3 2.19648E-2 
-2.8021E-3 3.33606E-2 9.04251E-3 2.20249E-2 
-2.7600E-3 3.34007E-2 9.09762E-3 2.20850E-2 
-2.7177E-3 3.34410E-2 9.15288E-3 2.21451E-2 
-2.6754E-3 3.34814E-2 9.20816E-3 2.22053E-2 
-2.6330E-3 3.35219E-2 9.26357E-3 2.22656E-2 
-2.5905E-3 3.35625E-2 9.31911E-3 2.23259E-2 
-2.5481E-3 3.36032E-2 9.37460E-3 2.23862E-2 
-2.5057E-3 3.36438E-2 9.43009E-3 2.24464E-2 
-2.4635E-3 3.36843E-2 9.48541E-3 2.25065E-2 
-2.4210E-3 3.37251E-2 9.54094E-3 2.25667E-2 
-2.3788E-3 3.37657E-2 9.59631E-3 2.26267E-2 
-2.3367E-3 3.38062E-2 9.65158E-3 2.26865E-2 
-2.2946E-3 3.38467E-2 9.70683E-3 2.27463E-2 
-2.2525E-3 3.38873E-2 9.76211E-3 2.28061E-2 
-2.2105E-3 3.39278E-2 9.81732E-3 2.28658E-2 
-2.1684E-3 3.39685E-2 9.87261E-3 2.29255E-2 
-2.1263E-3 3.40091E-2 9.92789E-3 2.29851E-2 
-2.0844E-3 3.40497E-2 9.98306E-3 2.30446E-2 
-2.0424E-3 3.40903E-2 1.00382E-2 2.31041E-2 
-2.0004E-3 3.41311E-2 1.00934E-2 2.31636E-2 
-1.9585E-3 3.41718E-2 1.01487E-2 2.32230E-2 
-1.9166E-3 3.42125E-2 1.02039E-2 2.32823E-2 
-1.8746E-3 3.42533E-2 1.02591E-2 2.33417E-2 
-1.8326E-3 3.42942E-2 1.03145E-2 2.34011E-2 
-1.7907E-3 3.43350E-2 1.03697E-2 2.34603E-2 
-1.7489E-3 3.43757E-2 1.04247E-2 2.35193E-2 
-1.7072E-3 3.44164E-2 1.04798E-2 2.35782E-2 
-1.6656E-3 3.44571E-2 1.05348E-2 2.36371E-2 
-1.6240E-3 3.44978E-2 1.05897E-2 2.36958E-2 
-1.5825E-3 3.45384E-2 1.06445E-2 2.37544E-2 
-1.5412E-3 3.45789E-2 1.06992E-2 2.38128E-2 
-1.4998E-3 3.46195E-2 1.07539E-2 2.38712E-2 
-1.4586E-3 3.46599E-2 1.08085E-2 2.39294E-2 
-1.4174E-3 3.47004E-2 1.08630E-2 2.39875E-2 
-1.3763E-3 3.47408E-2 1.09175E-2 2.40454E-2 
-1.3353E-3 3.47812E-2 1.09719E-2 2.41033E-2 
-1.2944E-3 3.48215E-2 1.10262E-2 2.41610E-2 
-1.2535E-3 3.48618E-2 1.10804E-2 2.42185E-2 
-1.2128E-3 3.49020E-2 1.11344E-2 2.42759E-2 
-1.1722E-3 3.49421E-2 1.11884E-2 2.43331E-2 
-1.1318E-3 3.49821E-2 1.12422E-2 2.43901E-2 
-1.0916E-3 3.50219E-2 1.12957E-2 2.44468E-2 
-1.0514E-3 3.50617E-2 1.13492E-2 2.45033E-2 
-1.0114E-3 3.51014E-2 1.14025E-2 2.45597E-2 
-9.7145E-4 3.51411E-2 1.14559E-2 2.46161E-2 
-9.3154E-4 3.51807E-2 1.15091E-2 2.46722E-2 
-8.9170E-4 3.52203E-2 1.15622E-2 2.47282E-2 
-8.5200E-4 3.52598E-2 1.16152E-2 2.47840E-2 
-8.1240E-4 3.52993E-2 1.16681E-2 2.48397E-2 
-7.7291E-4 3.53386E-2 1.17208E-2 2.48952E-2 
-7.3349E-4 3.53780E-2 1.17735E-2 2.49505E-2 
-6.9416E-4 3.54172E-2 1.18261E-2 2.50057E-2 
-6.5500E-4 3.54564E-2 1.18784E-2 2.50606E-2 
-6.1584E-4 3.54955E-2 1.19308E-2 2.51155E-2 
-5.7707E-4 3.55344E-2 1.19827E-2 2.51699E-2 
-5.3845E-4 3.55730E-2 1.20345E-2 2.52241E-2 
-4.9996E-4 3.56116E-2 1.20861E-2 2.52781E-2 
-4.6165E-4 3.56501E-2 1.21375E-2 2.53318E-2 
-4.2345E-4 3.56885E-2 1.21888E-2 2.53853E-2 
-3.8550E-4 3.57266E-2 1.22398E-2 2.54385E-2 
-3.4770E-4 3.57646E-2 1.22906E-2 2.54915E-2 
-3.1005E-4 3.58025E-2 1.23413E-2 2.55443E-2 
-2.7248E-4 3.58404E-2 1.23918E-2 2.55969E-2 
-2.3504E-4 3.58782E-2 1.24422E-2 2.56492E-2 
-1.9771E-4 3.59158E-2 1.24924E-2 2.57014E-2 
-1.6051E-4 3.59534E-2 1.25425E-2 2.57534E-2 
-1.2350E-4 3.59908E-2 1.25923E-2 2.58051E-2 
-8.6641E-5 3.60281E-2 1.26420E-2 2.58566E-2 
-4.9951E-5 3.60652E-2 1.26914E-2 2.59078E-2 
-1.3468E-5 3.61022E-2 1.27407E-2 2.59588E-2 
2.28750E-5 3.61391E-2 1.27897E-2 2.60095E-2 
5.90580E-5 3.61758E-2 1.28385E-2 2.60600E-2 
9.51358E-5 3.62124E-2 1.28872E-2 2.61102E-2 
1.31026E-4 3.62489E-2 1.29357E-2 2.61602E-2 
1.66615E-4 3.62851E-2 1.29838E-2 2.62098E-2 
2.02135E-4 3.63212E-2 1.30318E-2 2.62593E-2 
2.37462E-4 3.63572E-2 1.30796E-2 2.63085E-2 
2.72556E-4 3.63930E-2 1.31271E-2 2.63573E-2 
3.07494E-4 3.64286E-2 1.31743E-2 2.64059E-2 
3.42268E-4 3.64641E-2 1.32214E-2 2.64543E-2 
3.76871E-4 3.64994E-2 1.32683E-2 2.65024E-2 
4.11282E-4 3.65346E-2 1.33149E-2 2.65502E-2 
4.45490E-4 3.65696E-2 1.33613E-2 2.65977E-2 
4.79552E-4 3.66044E-2 1.34074E-2 2.66450E-2 
5.13478E-4 3.66392E-2 1.34534E-2 2.66921E-2 
5.47306E-4 3.66738E-2 1.34992E-2 2.67389E-2 
5.81099E-4 3.67085E-2 1.35450E-2 2.67857E-2 
6.14739E-4 3.67430E-2 1.35905E-2 2.68322E-2 
6.48121E-4 3.67772E-2 1.36357E-2 2.68783E-2 
6.81363E-4 3.68114E-2 1.36807E-2 2.69242E-2 
7.14446E-4 3.68454E-2 1.37255E-2 2.69699E-2 
7.47280E-4 3.68791E-2 1.37700E-2 2.70152E-2 
7.79931E-4 3.69127E-2 1.38143E-2 2.70602E-2 
8.12321E-4 3.69461E-2 1.38583E-2 2.71049E-2 
8.44510E-4 3.69792E-2 1.39019E-2 2.71493E-2 
8.76511E-4 3.70122E-2 1.39454E-2 2.71934E-2 
9.08375E-4 3.70451E-2 1.39886E-2 2.72373E-2 
9.40086E-4 3.70778E-2 1.40316E-2 2.72810E-2 
9.71596E-4 3.71103E-2 1.40744E-2 2.73243E-2 
1.00299E-3 3.71428E-2 1.41170E-2 2.73675E-2 
1.03426E-3 3.71751E-2 1.41593E-2 2.74104E-2 
1.06534E-3 3.72072E-2 1.42015E-2 2.74530E-2 
1.09622E-3 3.72392E-2 1.42434E-2 2.74954E-2 
1.12694E-3 3.72710E-2 1.42850E-2 2.75375E-2 
1.15747E-3 3.73026E-2 1.43264E-2 2.75793E-2 
1.18779E-3 3.73340E-2 1.43675E-2 2.76208E-2 
1.21795E-3 3.73653E-2 1.44084E-2 2.76620E-2 
1.24795E-3 3.73964E-2 1.44491E-2 2.77030E-2 
1.27776E-3 3.74273E-2 1.44895E-2 2.77438E-2 
1.30751E-3 3.74582E-2 1.45298E-2 2.77843E-2 
1.33709E-3 3.74889E-2 1.45698E-2 2.78246E-2 
1.36646E-3 3.75194E-2 1.46096E-2 2.78646E-2 
1.39565E-3 3.75497E-2 1.46491E-2 2.79044E-2 
1.42460E-3 3.75798E-2 1.46883E-2 2.79438E-2 
1.45345E-3 3.76098E-2 1.47273E-2 2.79830E-2 
1.48220E-3 3.76397E-2 1.47662E-2 2.80220E-2 
1.51072E-3 3.76694E-2 1.48047E-2 2.80607E-2 
1.53912E-3 3.76989E-2 1.48431E-2 2.80992E-2 
1.56735E-3 3.77283E-2 1.48812E-2 2.81374E-2 
1.59538E-3 3.77575E-2 1.49191E-2 2.81754E-2 
1.62322E-3 3.77865E-2 1.49567E-2 2.82130E-2 
1.65084E-3 3.78153E-2 1.49940E-2 2.82504E-2 
1.67831E-3 3.78440E-2 1.50311E-2 2.82875E-2 
1.70557E-3 3.78724E-2 1.50679E-2 2.83243E-2 
1.73266E-3 3.79006E-2 1.51045E-2 2.83609E-2 
1.75958E-3 3.79287E-2 1.51408E-2 2.83972E-2 
1.78635E-3 3.79567E-2 1.51769E-2 2.84332E-2 
1.81293E-3 3.79844E-2 1.52128E-2 2.84690E-2 
1.83929E-3 3.80120E-2 1.52483E-2 2.85045E-2 
1.86550E-3 3.80393E-2 1.52837E-2 2.85397E-2 
1.89152E-3 3.80665E-2 1.53187E-2 2.85747E-2 
1.91734E-3 3.80935E-2 1.53535E-2 2.86094E-2 
1.94307E-3 3.81204E-2 1.53881E-2 2.86439E-2 
1.96860E-3 3.81471E-2 1.54225E-2 2.86781E-2 
1.99398E-3 3.81736E-2 1.54567E-2 2.87121E-2 
2.01919E-3 3.82000E-2 1.54905E-2 2.87458E-2 
2.04426E-3 3.82262E-2 1.55242E-2 2.87794E-2 
2.06914E-3 3.82522E-2 1.55577E-2 2.88126E-2 
2.09388E-3 3.82781E-2 1.55909E-2 2.88456E-2 
2.11853E-3 3.83039E-2 1.56239E-2 2.88785E-2 
2.14304E-3 3.83295E-2 1.56568E-2 2.89111E-2 
2.16739E-3 3.83550E-2 1.56894E-2 2.89435E-2 
2.19165E-3 3.83804E-2 1.57218E-2 2.89757E-2 
2.21572E-3 3.84056E-2 1.57540E-2 2.90076E-2 
2.23958E-3 3.84305E-2 1.57859E-2 2.90393E-2 
2.26324E-3 3.84553E-2 1.58175E-2 2.90707E-2 
2.28674E-3 3.84799E-2 1.58489E-2 2.91018E-2 
2.31010E-3 3.85044E-2 1.58801E-2 2.91328E-2 
2.33336E-3 3.85287E-2 1.59111E-2 2.91635E-2 
2.35644E-3 3.85529E-2 1.59419E-2 2.91940E-2 
2.37937E-3 3.85769E-2 1.59725E-2 2.92243E-2 
2.40219E-3 3.86008E-2 1.60028E-2 2.92543E-2 
2.42494E-3 3.86246E-2 1.60331E-2 2.92843E-2 
2.44750E-3 3.86482E-2 1.60631E-2 2.93139E-2 
2.46990E-3 3.86716E-2 1.60928E-2 2.93434E-2 
2.49219E-3 3.86950E-2 1.61224E-2 2.93726E-2 
2.51431E-3 3.87181E-2 1.61517E-2 2.94016E-2 
2.53630E-3 3.87411E-2 1.61808E-2 2.94305E-2 
2.55812E-3 3.87640E-2 1.62097E-2 2.94590E-2 
2.57978E-3 3.87866E-2 1.62384E-2 2.94874E-2 
2.60128E-3 3.88091E-2 1.62668E-2 2.95155E-2 
2.62262E-3 3.88315E-2 1.62950E-2 2.95433E-2 
2.64381E-3 3.88536E-2 1.63230E-2 2.95710E-2 
2.66484E-3 3.88756E-2 1.63508E-2 2.95984E-2 
2.68573E-3 3.88975E-2 1.63784E-2 2.96256E-2 
2.70647E-3 3.89192E-2 1.64057E-2 2.96526E-2 
2.72707E-3 3.89407E-2 1.64329E-2 2.96794E-2 
2.74757E-3 3.89622E-2 1.64598E-2 2.97061E-2 
2.76794E-3 3.89835E-2 1.64866E-2 2.97325E-2 
2.78818E-3 3.90046E-2 1.65132E-2 2.97587E-2 
2.80831E-3 3.90257E-2 1.65396E-2 2.97848E-2 
2.82829E-3 3.90465E-2 1.65658E-2 2.98106E-2 
2.84811E-3 3.90673E-2 1.65918E-2 2.98363E-2 
2.86782E-3 3.90879E-2 1.66176E-2 2.98617E-2 
2.88740E-3 3.91083E-2 1.66432E-2 2.98870E-2 
2.90684E-3 3.91286E-2 1.66687E-2 2.99120E-2 
2.92614E-3 3.91488E-2 1.66939E-2 2.99369E-2 
2.94532E-3 3.91688E-2 1.67189E-2 2.99615E-2 
