
 ----------------------------------------------

    SimVascular Fluid-Structure Interaction
                   (svFSI)

 ----------------------------------------------

 This program comes with ABSOLUTELY NO WARRANTY
 Compiled on 06-24-2020

 Running sequentially
 Number of meshes: 1
 Reading mesh <msh>
 <VTK XML Parser> Loading file <../mesh/N004/mesh-complete.mesh.vtu>
 Checking IEN array structure for mesh <msh>
 Number of available faces: 4
 <VTK XML Parser> Loading file <../mesh/N004/mesh-surfaces/bottom.vtp>
 <VTK XML Parser> Loading file <../mesh/N004/mesh-surfaces/top.vtp>
 <VTK XML Parser> Loading file <../mesh/N004/mesh-surfaces/left.vtp>
 <VTK XML Parser> Loading file <../mesh/N004/mesh-surfaces/right.vtp>
 Number of nodes: 81
 Number of elements: 32
 Mesh data imported successfully
 Domain size X: 0.000000 1.000000
 Domain size Y: 0.000000 1.000000
 Number of equations: 1
 Using preconditioner: trilinos-diagonal
 Number of imposed BC for equation <stokes>: 3
 Configuration is completed successfully
 Constructing stiffness matrix sparse structure
 Total number of non-zeros in the LHS matrix: 801
 Initializing state variables to zero
 Eq. <SS>
    Volume of domain <-1> is 9.999E-1
 Area of face <bottom> is 1.000000
 Area of face <top> is 1.000000
 Area of face <left> is 1.000000
 Area of face <right> is 1.000000

---------------------------------------------------------------------
 Eq     N-i     T       dB  Ri/R1   Ri/R0    R/Ri     lsIt   dB  %t
---------------------------------------------------------------------
 New time step size: 1.000E-2
 SS    31-2  7.7E-1  [ -90 2.89E-5 4.9E-12 1.75E-3]  [1000  -63  98]
 SS    31-3  7.8E-1  [-145 5.09E-8 8.7E-15 8.49E-3]  [1000  -48  97]
 SS    31-4  7.9E-1  [-172 2.41E-9 4.1E-16 1.87E-2]  [1000  -40  82]
 SS    32-1  7.9E-1  [   0 1.00000 9.31E-8 1.99E-5]  [1000 -108  99]
 SS    32-2  8.0E-1  [ -94 1.99E-5 1.8E-12 9.08E-3]  [1000  -47  96]
 SS    32-3  8.0E-1  [-134 1.81E-7 1.6E-14 4.07E-3]  [1000  -55  91]
 SS    32-4  8.1E-1  [-166 4.75E-9 4.4E-16 3.40E-3]  [1000  -57  98]
 SS    33-1  8.2E-1  [   0 1.00000 5.04E-8 2.78E-5]  [1000 -105  96]
 SS    33-2  8.2E-1  [ -91 2.78E-5 1.4E-12 1.17E-2]  [1000  -44  96]
 SS    33-3  8.3E-1  [-129 3.28E-7 1.6E-14 5.04E-3]  [1000  -53  84]
 SS    33-4  8.4E-1  [-162 7.46E-9 3.7E-16 1.86E-3]  [1000  -63  97]
 SS    34-1  8.4E-1  [   0 1.00000 2.79E-8 3.64E-5]  [1000 -102 100]
 SS    34-2  8.5E-1  [ -88 3.64E-5 1.0E-12 5.31E-2]  [1000  -29  96]
 SS    34-3  8.5E-1  [-114 1.93E-6 5.4E-14 1.80E-2]  [1000  -40  84]
 SS    34-4  8.6E-1  [-148 3.90E-8 1.0E-15 2.53E-2]  [1000  -37  97]
 SS    35-1  8.7E-1  [   0 1.00000 1.56E-8 1.03E-5]  [1000 -115  97]
 SS    35-2  8.7E-1  [ -99 1.03E-5 1.6E-13 1.30E-2]  [1000  -43  99]
 SS    35-3  8.8E-1  [-137 1.37E-7 2.1E-15 3.95E-2]  [1000  -32  82]
 SS    35-4  8.8E-1  [-151 2.53E-8 3.9E-16 9.60E-4]  [1000  -69  96]
 SS    36-1  8.9E-1  [   0 1.00000 9.08E-9 2.69E-5]  [1000 -105  98]
 SS    36-2  9.0E-1  [ -91 2.69E-5 2.4E-13 2.29E-2]  [1000  -38  96]
 SS    36-3  9.0E-1  [-124 6.21E-7 5.6E-15 2.63E-2]  [1000  -36  86]
 SS    36-4  9.1E-1  [-147 4.46E-8 4.0E-16 8.31E-3]  [1000  -48  98]
 SS    37-1  9.2E-1  [   0 1.00000 5.38E-9 2.41E-5]  [1000 -106  96]
 SS    37-2  9.2E-1  [ -92 2.41E-5 1.3E-13 1.16E-2]  [1000  -45  98]
 SS    37-3  9.3E-1  [-130 2.90E-7 1.5E-15 6.09E-3]  [1000  -51  84]
 SS    37-4  9.3E-1  [-141 8.20E-8 4.4E-16 3.82E-4]  [1000  -79  97]
 SS    38-1  9.4E-1  [   0 1.00000 3.34E-9 1.83E-5]  [1000 -109  99]
 SS    38-2  9.5E-1  [ -94 1.83E-5 6.1E-14 7.14E-3]  [1000  -49  96]
 SS    38-3  9.5E-1  [-135 1.71E-7 5.7E-16 6.10E-3]  [1000  -51  86]
 SS    38-4  9.6E-1  [-137 1.28E-7 4.2E-16 1.84E-4]  [1000  -86  98]
 SS    39-1  9.7E-1  [   0 1.00000 2.11E-9 2.11E-5]  [1000 -108  97]
 SS    39-2  9.7E-1  [ -93 2.11E-5 4.4E-14 2.03E-3]  [1000  -62  97]
 SS    39-3  9.8E-1  [-133 2.05E-7 4.3E-16 1.77E-3]  [1000  -63  83]
 SS    39-4  9.8E-1  [-132 2.25E-7 4.7E-16 3.62E-5]  [1000 -102  95]
 SS    40-1  9.9E-1  [   0 1.00000 1.39E-9 8.84E-6]  [1000 -116  98]
 SS    40-2  1.0020  [-101 8.85E-6 1.2E-14 5.23E-3]  [1000  -53  96]
 SS    40-3  1.0079  [-129 3.47E-7 4.8E-16 5.47E-4]  [1000  -75  97]
 SS    40-4  1.0149  [-130 3.06E-7 4.2E-16 2.97E-5]  [1000 -104  85]
 SS    41-1  1.0210  [   0 1.00000 9.2E-10 2.07E-5]  [1000 -108  97]
 SS    41-2  1.0269  [ -93 2.07E-5 1.9E-14 6.04E-3]  [1000  -51  99]
 SS    41-3  1.0329  [-125 5.37E-7 4.9E-16 7.21E-4]  [1000  -72  98]
 SS    41-4  1.0400  [-126 4.92E-7 4.5E-16 3.28E-4]  [1000  -80  82]
 SS    42-1  1.0459  [   0 1.00000 6.2E-10 7.71E-6]  [1000 -118  99]
 SS    42-2  1.0519  [-102 7.73E-6 4.8E-15 1.17E-2]  [1000  -44  97]
 SS    42-3  1.0580  [-124 5.76E-7 3.6E-16 1.41E-3]  [1000  -66 100]
 SS    42-4  1.0649  [-124 6.02E-7 3.7E-16 1.48E-4]  [1000  -88  83]
 SS    43-1  1.0709  [   0 1.00000 4.2E-10 5.88E-6]  [1000 -120  97]
 SS    43-2  1.0770  [-104 5.94E-6 2.5E-15 2.77E-2]  [1000  -36  98]
 SS    43-3  1.0829  [-120 9.50E-7 4.0E-16 2.78E-3]  [1000  -59  97]
 SS    43-4  1.0889  [-118 1.15E-6 4.9E-16 6.56E-5]  [1000  -96  96]
 SS    44-1  1.0959  [   0 1.00000 2.9E-10 2.74E-6]  [1000 -128  84]
 SS    44-2  1.1019  [-110 3.00E-6 8.7E-16 2.83E-3]  [1000  -59  96]
 SS    44-3  1.1080  [-117 1.32E-6 3.8E-16 1.48E-4]  [1000  -88  99]
 SS    44-4  1.1139  [-119 1.07E-6 3.1E-16 3.33E-5]  [1000 -103  95]
 SS    45-1  1.1199  [   0 1.00000 2.0E-10 3.35E-6]  [1000 -126  96]
 SS    45-2  1.1270  [-107 4.02E-6 8.0E-16 1.51E-4]  [1000  -88  83]
 SS    45-3  1.1329  [-112 2.41E-6 4.8E-16 6.43E-5]  [1000  -97  97]
 SS    45-4  1.1389  [-113 2.15E-6 4.3E-16 4.51E-5]  [1000 -100  97]
 SS    46-1  1.1450  [   0 1.00000 1.3E-10 1.57E-6]  [1000 -134  99]
 SS    46-2  1.1509  [-109 3.44E-6 4.7E-16 1.98E-3]  [1000  -62  96]
 SS    46-3  1.1579  [-110 2.84E-6 3.9E-16 1.12E-4]  [1000  -91  83]
 SS    46-4  1.1640  [-112 2.48E-6 3.4E-16 5.26E-5]  [1000  -99 100]
 SS    47-1  1.1699  [   0 1.00000 9.4E-11 1.74E-6]  [1000 -133  96]
